id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Epithelial|Epithelial	Myofibroblast_Mesothelium|Myofibroblast_Mesothelium	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Immune	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Fibroblasts	Fibroblasts|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Immune	Pericytes|Myofibroblast_Mesothelium	Pericytes|Fibroblasts	Pericytes|Pericytes	Pericytes|Endothelial	Pericytes|Immune	Endothelial|Myofibroblast_Mesothelium	Endothelial|Fibroblasts	Endothelial|Pericytes	Endothelial|Endothelial	Endothelial|Immune	Immune|Myofibroblast_Mesothelium	Immune|Fibroblasts	Immune|Pericytes	Immune|Endothelial	Immune|Immune	Muscle|Muscle	Muscle|Neural	Muscle|Fibroblasts	Muscle|Pericytes	Muscle|Endothelial	Muscle|Immune	Neural|Muscle	Neural|Neural	Neural|Fibroblasts	Neural|Pericytes	Neural|Endothelial	Neural|Immune	Fibroblasts|Muscle	Fibroblasts|Neural	Pericytes|Muscle	Pericytes|Neural	Endothelial|Muscle	Endothelial|Neural	Immune|Muscle	Immune|Neural
CPI-SS04AEFAE55	PLG_F2RL3	simple:P00747	simple:Q96RI0	PLG	F2RL3	False	False	False	user_curated	False	0.011	0.0	0.0	0.0	0.0	0.0	0.005	0.004	0.003	0.038	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0415C4BFF	GZMA_F2RL3	simple:P12544	simple:Q96RI0	GZMA	F2RL3	False	False	False	user_curated	False	0.0	0.005	0.003	0.003	0.038	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.006	0.041	0.011	0.053	0.052	0.052	0.087	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.051
CPI-SS0F815C36F	PRSS3_F2RL3	simple:P35030	simple:Q96RI0	PRSS3	F2RL3	False	False	False	user_curated	False	0.234	0.052	0.05	0.05	0.085	0.055	0.059	0.057	0.057	0.092	0.062	0.036	0.034	0.034	0.069	0.038	0.051	0.049	0.049	0.084	0.054	0.054	0.052	0.052	0.087	0.057	0.0	0.032	0.033	0.033	0.068	0.037	0.0	0.053	0.054	0.053	0.088	0.058	0.0	0.057	0.0	0.033	0.0	0.049	0.0	0.052
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	LGALS9	CD44	False	False	False	user_curated	False	0.063	0.11	0.067	0.027	0.032	0.428	0.116	0.072	0.032	0.037	0.433	0.107	0.063	0.023	0.028	0.424	0.248	0.204	0.164	0.169	0.565	0.143	0.099	0.059	0.064	0.46	0.173	0.11	0.066	0.026	0.031	0.427	0.166	0.102	0.058	0.018	0.023	0.419	0.18	0.116	0.17	0.107	0.311	0.248	0.206	0.143
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	SPP1	CD44	False	False	False	user_curated	False	0.021	0.107	0.063	0.024	0.029	0.425	0.11	0.066	0.027	0.031	0.427	0.102	0.059	0.019	0.024	0.42	0.108	0.065	0.025	0.03	0.426	0.129	0.085	0.046	0.05	0.446	0.0	0.0	0.0	0.0	0.0	0.0	0.253	0.19	0.145	0.106	0.11	0.506	0.174	0.111	0.166	0.103	0.172	0.109	0.193	0.13
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	LGALS9	HAVCR2	False	False	False	user_curated	False	0.046	0.012	0.012	0.014	0.0	0.122	0.017	0.018	0.019	0.0	0.128	0.008	0.008	0.01	0.0	0.118	0.149	0.149	0.151	0.0	0.26	0.044	0.044	0.046	0.0	0.154	0.0	0.0	0.011	0.013	0.0	0.122	0.0	0.0	0.004	0.005	0.0	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0A4615CB0	SPP1_P08648_P05556	simple:P10451	complex:P08648_P05556	SPP1		False	False	False	user_curated	False	0.015	0.097	0.068	0.054	0.334	0.06	0.1	0.071	0.057	0.337	0.063	0.092	0.063	0.049	0.329	0.055	0.098	0.069	0.055	0.335	0.061	0.119	0.09	0.076	0.356	0.082	0.0	0.0	0.0	0.0	0.0	0.0	0.197	0.096	0.15	0.136	0.416	0.142	0.118	0.017	0.111	0.009	0.117	0.015	0.137	0.036
CPI-SC02C3EC870	ANGPT2_P08648_P05556	simple:O15123	complex:P08648_P05556	ANGPT2		False	False	False	user_curated	False	0.031	0.099	0.07	0.056	0.336	0.062	0.109	0.081	0.067	0.346	0.073	0.391	0.362	0.348	0.628	0.354	0.118	0.09	0.076	0.356	0.082	0.097	0.068	0.054	0.334	0.06	0.113	0.012	0.066	0.052	0.332	0.058	0.129	0.028	0.082	0.068	0.348	0.074	0.128	0.026	0.409	0.308	0.137	0.036	0.116	0.014
CPI-SC025C09D3C	NAMPT_P08648_P05556	simple:P43490	complex:P08648_P05556	NAMPT		False	False	False	user_curated	False	0.25	0.35	0.321	0.307	0.587	0.313	0.399	0.37	0.356	0.636	0.362	0.284	0.256	0.242	0.521	0.248	0.529	0.501	0.486	0.766	0.493	0.621	0.593	0.579	0.858	0.585	0.242	0.141	0.195	0.181	0.461	0.187	0.29	0.189	0.243	0.229	0.509	0.235	0.417	0.316	0.303	0.202	0.548	0.446	0.64	0.538
CPI-SC0BE78B635	ANGPTL4_P08648_P05556	simple:Q9BY76	complex:P08648_P05556	ANGPTL4		False	False	False	user_curated	False	0.023	0.136	0.107	0.093	0.373	0.099	0.198	0.169	0.155	0.435	0.161	0.273	0.245	0.23	0.51	0.237	0.112	0.084	0.07	0.349	0.076	0.099	0.07	0.056	0.336	0.062	0.127	0.026	0.08	0.066	0.346	0.072	0.17	0.068	0.122	0.108	0.388	0.114	0.217	0.115	0.292	0.19	0.131	0.03	0.117	0.016
CPI-SC0485E5143	ANGPTL2_P08648_P05556	simple:Q9UKU9	complex:P08648_P05556	ANGPTL2		False	False	False	user_curated	False	0.019	0.155	0.127	0.113	0.392	0.119	0.188	0.159	0.145	0.425	0.151	0.125	0.096	0.082	0.362	0.088	0.123	0.094	0.08	0.36	0.086	0.095	0.067	0.053	0.333	0.059	0.236	0.135	0.189	0.175	0.455	0.181	0.124	0.023	0.077	0.063	0.343	0.069	0.206	0.105	0.143	0.042	0.141	0.04	0.114	0.013
CPI-SC02759A348	SPP1_P06756_P05556	simple:P10451	complex:P06756_P05556	SPP1		False	False	False	user_curated	False	0.054	0.088	0.071	0.11	0.092	0.04	0.091	0.074	0.113	0.094	0.043	0.083	0.066	0.105	0.087	0.036	0.089	0.072	0.111	0.093	0.042	0.11	0.093	0.132	0.113	0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.151	0.153	0.192	0.173	0.122	0.057	0.072	0.049	0.064	0.055	0.07	0.076	0.091
CPI-SC09D8B9DA2	SPP1_P06756_P18084	simple:P10451	complex:P06756_P18084	SPP1		False	False	False	user_curated	False	0.054	0.088	0.047	0.11	0.074	0.04	0.091	0.049	0.113	0.077	0.043	0.083	0.042	0.105	0.069	0.036	0.089	0.048	0.111	0.075	0.042	0.11	0.068	0.132	0.096	0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.101	0.128	0.192	0.156	0.122	0.033	0.022	0.025	0.014	0.031	0.02	0.052	0.041
CPI-SC02D41C57E	POSTN_P06756_P18084	simple:Q15063	complex:P06756_P18084	POSTN		False	False	False	user_curated	False	0.091	0.717	0.676	0.739	0.703	0.669	0.217	0.175	0.239	0.202	0.169	0.314	0.273	0.336	0.3	0.267	0.257	0.215	0.279	0.242	0.209	0.131	0.089	0.153	0.116	0.083	0.736	0.725	0.752	0.815	0.779	0.746	0.15	0.139	0.167	0.23	0.194	0.16	0.159	0.148	0.256	0.245	0.199	0.188	0.073	0.062
CPI-SC0411F313E	SPP1_P06756_P18564	simple:P10451	complex:P06756_P18564	SPP1		False	False	False	user_curated	False	0.021	0.0	0.009	0.008	0.0	0.0	0.0	0.012	0.011	0.0	0.0	0.0	0.005	0.004	0.0	0.0	0.0	0.011	0.01	0.0	0.0	0.0	0.031	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.091	0.09	0.0	0.0	0.0	0.013	0.0	0.005	0.0	0.011	0.0	0.032
CPI-SC039D2D108	SPP1_P13612_P05556	simple:P10451	complex:P13612_P05556	SPP1		False	False	False	user_curated	False	0.004	0.033	0.019	0.063	0.009	0.086	0.036	0.022	0.066	0.012	0.089	0.028	0.014	0.059	0.005	0.081	0.034	0.02	0.065	0.011	0.087	0.055	0.041	0.085	0.031	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.103	0.101	0.145	0.091	0.168	0.013	0.024	0.006	0.017	0.012	0.023	0.032	0.043
CPI-SC0926171F3	MDK_P13612_P05556	simple:P21741	complex:P13612_P05556	MDK		False	False	False	user_curated	False	0.245	1.146	1.132	1.176	1.122	1.199	1.127	1.113	1.157	1.103	1.18	1.018	1.004	1.048	0.994	1.071	0.648	0.634	0.678	0.624	0.701	0.29	0.276	0.32	0.266	0.343	0.9	0.91	0.908	0.952	0.898	0.975	1.107	1.118	1.116	1.16	1.106	1.182	1.104	1.115	0.995	1.006	0.625	0.636	0.268	0.278
CPI-SC0B1A05D68	SPP1_P53708_P05556	simple:P10451	complex:P53708_P05556	SPP1		False	False	False	user_curated	False	0.012	0.203	0.087	0.074	0.027	0.019	0.206	0.09	0.077	0.029	0.022	0.198	0.082	0.069	0.022	0.014	0.204	0.088	0.075	0.028	0.02	0.225	0.109	0.096	0.048	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.095	0.169	0.156	0.108	0.101	0.041	0.016	0.033	0.008	0.039	0.014	0.06	0.035
CPI-SC028967BC9	SPP1_Q13797_P05556	simple:P10451	complex:Q13797_P05556	SPP1		False	False	False	user_curated	False	0.011	0.047	0.023	0.015	0.055	0.03	0.05	0.026	0.017	0.058	0.033	0.042	0.018	0.01	0.05	0.025	0.048	0.024	0.016	0.056	0.031	0.069	0.045	0.037	0.077	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.192	0.091	0.105	0.097	0.137	0.112	0.113	0.012	0.105	0.004	0.111	0.01	0.132	0.031
CPI-SS0BAB460FF	ANGPT2_TEK	simple:O15123	simple:Q02763	ANGPT2	TEK	False	False	False	user_curated	False	0.022	0.027	0.015	0.012	0.226	0.0	0.038	0.025	0.022	0.237	0.0	0.319	0.306	0.303	0.518	0.0	0.047	0.034	0.031	0.246	0.0	0.025	0.012	0.009	0.224	0.0	0.0	0.016	0.01	0.007	0.222	0.0	0.0	0.032	0.026	0.023	0.238	0.0	0.0	0.031	0.0	0.312	0.0	0.04	0.0	0.018
CPI-SS0DE9B07A8	ANGPT1_TEK	simple:Q15389	simple:Q02763	ANGPT1	TEK	False	False	False	user_curated	False	0.006	0.073	0.06	0.057	0.272	0.0	0.028	0.015	0.012	0.227	0.0	0.152	0.139	0.136	0.351	0.0	0.023	0.01	0.007	0.222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.016	0.013	0.228	0.0	0.0	0.013	0.007	0.004	0.219	0.0	0.0	0.021	0.0	0.145	0.0	0.016	0.0	0.0
CPI-SC0617AED61	C3_P11215_P05107	simple:P01024	complex:P11215_P05107	C3		False	False	False	user_curated	False	0.057	0.0	0.008	0.0	0.009	0.043	0.0	0.009	0.0	0.01	0.044	0.0	0.004	0.0	0.005	0.039	0.0	0.008	0.0	0.009	0.043	0.0	0.018	0.0	0.019	0.053	0.0	0.011	0.009	0.0	0.01	0.044	0.0	0.008	0.006	0.0	0.007	0.041	0.0	0.011	0.0	0.006	0.0	0.01	0.0	0.02
CPI-SS0B134D80B	NAMPT_INSR	simple:P43490	simple:P06213	NAMPT	INSR	False	False	False	user_curated	False	0.343	0.296	0.311	0.288	0.399	0.309	0.345	0.36	0.337	0.448	0.358	0.23	0.245	0.223	0.334	0.243	0.475	0.49	0.468	0.578	0.488	0.567	0.582	0.56	0.671	0.58	0.25	0.183	0.184	0.162	0.273	0.182	0.298	0.232	0.233	0.21	0.321	0.231	0.425	0.359	0.311	0.244	0.555	0.489	0.647	0.581
CPI-SS06F63AD8F	ANGPTL4_SDC3	simple:Q9BY76	simple:O75056	ANGPTL4	SDC3	False	False	False	user_curated	False	0.032	0.087	0.095	0.059	0.122	0.076	0.149	0.157	0.121	0.184	0.138	0.224	0.232	0.196	0.259	0.213	0.063	0.072	0.035	0.098	0.052	0.05	0.058	0.022	0.085	0.039	0.127	0.171	0.068	0.031	0.094	0.048	0.17	0.213	0.11	0.074	0.137	0.091	0.217	0.26	0.292	0.336	0.131	0.175	0.118	0.161
CPI-SS01B806614	PTN_SDC3	simple:P21246	simple:O75056	PTN	SDC3	False	False	False	user_curated	False	0.1	0.729	0.737	0.7	0.764	0.717	0.647	0.655	0.619	0.682	0.636	0.528	0.536	0.5	0.563	0.517	0.17	0.178	0.142	0.205	0.159	0.134	0.142	0.106	0.169	0.123	0.583	0.627	0.524	0.487	0.55	0.504	0.475	0.519	0.415	0.379	0.442	0.396	0.715	0.758	0.596	0.639	0.238	0.282	0.202	0.246
CPI-SS0728EF204	ANGPTL4_SDC1	simple:Q9BY76	simple:P18827	ANGPTL4	SDC1	False	False	False	user_curated	False	0.066	0.079	0.068	0.061	0.058	0.053	0.141	0.13	0.123	0.12	0.115	0.216	0.205	0.198	0.195	0.19	0.055	0.044	0.037	0.034	0.029	0.041	0.03	0.024	0.021	0.015	0.0	0.04	0.04	0.033	0.03	0.025	0.0	0.082	0.083	0.076	0.073	0.067	0.0	0.129	0.0	0.205	0.0	0.044	0.0	0.03
CPI-SS0AAADE913	PTN_SDC1	simple:P21246	simple:P18827	PTN	SDC1	False	False	False	user_curated	False	0.134	0.72	0.709	0.703	0.699	0.694	0.639	0.628	0.621	0.618	0.613	0.52	0.509	0.502	0.499	0.493	0.162	0.151	0.144	0.141	0.136	0.126	0.115	0.108	0.105	0.1	0.0	0.496	0.496	0.489	0.486	0.481	0.0	0.388	0.388	0.381	0.378	0.373	0.0	0.627	0.0	0.508	0.0	0.151	0.0	0.115
CPI-SS09E894567	MDK_SDC1	simple:P21741	simple:P18827	MDK	SDC1	False	False	False	user_curated	False	0.298	1.152	1.141	1.134	1.131	1.126	1.133	1.122	1.115	1.112	1.107	1.024	1.013	1.007	1.003	0.998	0.654	0.643	0.637	0.633	0.628	0.296	0.285	0.279	0.276	0.27	0.0	0.917	0.917	0.911	0.908	0.902	0.0	1.125	1.125	1.118	1.115	1.11	0.0	1.122	0.0	1.013	0.0	0.643	0.0	0.285
CPI-SS004A2C2A0	ANGPTL4_SDC4	simple:Q9BY76	simple:P31431	ANGPTL4	SDC4	False	False	False	user_curated	False	0.102	0.065	0.06	0.055	0.054	0.076	0.127	0.122	0.117	0.116	0.138	0.202	0.197	0.192	0.191	0.213	0.041	0.037	0.032	0.03	0.052	0.028	0.023	0.018	0.016	0.038	0.038	0.026	0.033	0.028	0.026	0.048	0.081	0.068	0.075	0.07	0.069	0.09	0.128	0.116	0.203	0.191	0.042	0.03	0.029	0.016
CPI-SS0229615A6	PTN_SDC4	simple:P21246	simple:P31431	PTN	SDC4	False	False	False	user_curated	False	0.17	0.707	0.702	0.697	0.695	0.717	0.625	0.62	0.615	0.614	0.636	0.506	0.501	0.496	0.495	0.516	0.148	0.143	0.138	0.137	0.159	0.112	0.107	0.102	0.101	0.123	0.494	0.482	0.488	0.484	0.482	0.504	0.386	0.374	0.38	0.375	0.374	0.396	0.626	0.614	0.507	0.494	0.149	0.137	0.113	0.101
CPI-SS013923296	MDK_SDC4	simple:P21741	simple:P31431	MDK	SDC4	False	False	False	user_curated	False	0.334	1.139	1.134	1.129	1.127	1.149	1.119	1.114	1.11	1.108	1.13	1.011	1.006	1.001	0.999	1.021	0.641	0.636	0.631	0.629	0.651	0.283	0.278	0.273	0.271	0.293	0.916	0.903	0.91	0.905	0.903	0.925	1.123	1.111	1.117	1.112	1.111	1.133	1.12	1.108	1.012	0.999	0.641	0.629	0.284	0.271
CPI-SS0ADC22434	ANGPTL4_SDC2	simple:Q9BY76	simple:P34741	ANGPTL4	SDC2	False	False	False	user_curated	False	0.076	0.338	0.189	0.396	0.088	0.098	0.4	0.251	0.458	0.15	0.16	0.475	0.326	0.533	0.225	0.235	0.315	0.165	0.372	0.064	0.074	0.301	0.152	0.359	0.05	0.06	0.082	0.116	0.162	0.368	0.06	0.07	0.124	0.159	0.204	0.411	0.103	0.112	0.171	0.206	0.246	0.281	0.086	0.12	0.072	0.106
CPI-SS08A159F6C	PTN_SDC2	simple:P21246	simple:P34741	PTN	SDC2	False	False	False	user_curated	False	0.143	0.98	0.831	1.038	0.729	0.739	0.898	0.749	0.956	0.648	0.658	0.779	0.63	0.837	0.529	0.538	0.421	0.272	0.479	0.171	0.181	0.385	0.236	0.443	0.135	0.145	0.538	0.572	0.617	0.824	0.516	0.526	0.429	0.464	0.509	0.716	0.408	0.418	0.669	0.704	0.55	0.585	0.192	0.227	0.156	0.191
CPI-SS0C0849037	MDK_SDC2	simple:P21741	simple:P34741	MDK	SDC2	False	False	False	user_curated	False	0.308	1.412	1.263	1.469	1.161	1.171	1.393	1.243	1.45	1.142	1.152	1.284	1.135	1.342	1.033	1.043	0.914	0.765	0.971	0.663	0.673	0.556	0.407	0.614	0.305	0.315	0.959	0.993	1.039	1.246	0.937	0.947	1.166	1.201	1.246	1.453	1.145	1.155	1.164	1.198	1.055	1.089	0.685	0.719	0.327	0.361
CPI-SS0958724F2	ANGPTL4_CDH5	simple:Q9BY76	simple:P33151	ANGPTL4	CDH5	False	False	False	user_curated	False	0.024	0.069	0.069	0.054	0.817	0.0	0.131	0.131	0.116	0.879	0.0	0.206	0.206	0.191	0.954	0.0	0.045	0.045	0.03	0.793	0.0	0.031	0.031	0.017	0.779	0.0	0.036	0.038	0.041	0.026	0.789	0.0	0.079	0.08	0.083	0.069	0.832	0.0	0.126	0.127	0.201	0.203	0.04	0.042	0.026	0.028
CPI-SS0BA377E84	ANGPTL4_CDH11	simple:Q9BY76	simple:P55287	ANGPTL4	CDH11	False	False	False	user_curated	False	0.034	0.279	0.303	0.258	0.074	0.071	0.341	0.365	0.32	0.136	0.133	0.416	0.441	0.395	0.211	0.208	0.255	0.28	0.234	0.051	0.047	0.241	0.266	0.221	0.037	0.033	0.218	0.065	0.276	0.23	0.047	0.043	0.26	0.108	0.318	0.273	0.089	0.085	0.308	0.155	0.383	0.23	0.222	0.069	0.208	0.055
CPI-SS072DE2CA2	ANGPTL2_TLR4	simple:Q9UKU9	simple:O00206	ANGPTL2	TLR4	False	False	False	user_curated	False	0.01	0.067	0.067	0.0	0.098	0.133	0.099	0.099	0.0	0.13	0.166	0.036	0.036	0.0	0.067	0.103	0.034	0.034	0.0	0.065	0.101	0.007	0.007	0.0	0.038	0.074	0.0	0.13	0.129	0.0	0.16	0.196	0.0	0.018	0.017	0.0	0.048	0.084	0.0	0.1	0.0	0.037	0.0	0.035	0.0	0.008
CPI-SC0C6400443	NRG1_P04626_P21860	simple:Q02297	complex:P04626_P21860	NRG1		False	False	False	user_curated	False	0.2	0.079	0.094	0.063	0.082	0.068	0.033	0.048	0.017	0.036	0.021	0.0	0.0	0.0	0.0	0.0	0.032	0.047	0.016	0.035	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.073	0.049	0.019	0.038	0.023	0.041	0.071	0.0	0.0	0.041	0.071	0.0	0.0
CPI-SC0C5E947B0	NRG2_P04626_P21860	simple:O14511	complex:P04626_P21860	NRG2		False	False	False	user_curated	False	0.199	0.056	0.071	0.04	0.059	0.045	0.039	0.054	0.023	0.042	0.028	0.031	0.046	0.015	0.034	0.019	0.034	0.049	0.019	0.038	0.023	0.0	0.0	0.0	0.0	0.0	0.042	0.072	0.048	0.017	0.036	0.022	0.071	0.101	0.077	0.047	0.066	0.051	0.047	0.078	0.039	0.07	0.043	0.073	0.0	0.0
CPI-SC02133EB36	NRG1_P04626_Q15303	simple:Q02297	complex:P04626_Q15303	NRG1		False	False	False	user_curated	False	0.002	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.046	0.0	0.019	0.0	0.0	0.011	0.045	0.0	0.0	0.011	0.044	0.0	0.0
CPI-SC07D690F42	NRG2_P04626_Q15303	simple:O14511	complex:P04626_Q15303	NRG2		False	False	False	user_curated	False	0.002	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.045	0.0	0.018	0.0	0.0	0.041	0.074	0.0	0.047	0.0	0.0	0.017	0.051	0.009	0.043	0.013	0.046	0.0	0.0
CPI-SC085FA039E	EREG_P04626_Q15303	simple:O14944	complex:P04626_Q15303	EREG		False	False	False	user_curated	False	0.171	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.031	0.065	0.0	0.038	0.0	0.0	0.022	0.055	0.0	0.028	0.0	0.0	0.028	0.061	0.016	0.049	0.018	0.052	0.053	0.086
CPI-SC09FC1B7CA	BTC_P04626_Q15303	simple:P35070	complex:P04626_Q15303	BTC		False	False	False	user_curated	False	0.004	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.074	0.0	0.047	0.0	0.0	0.039	0.072	0.0	0.045	0.0	0.0	0.01	0.044	0.025	0.058	0.0	0.0	0.0	0.0
CPI-SC05F42AD59	NRG3_P04626_Q15303	simple:P56975	complex:P04626_Q15303	NRG3		False	False	False	user_curated	False	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.043	0.0	0.016	0.0	0.0	0.015	0.049	0.0	0.0	0.008	0.041	0.0	0.0
CPI-SC00F7281E2	HBEGF_P04626_Q15303	simple:Q99075	complex:P04626_Q15303	HBEGF		False	False	False	user_curated	False	0.055	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.322	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.026	0.059	0.0	0.032	0.0	0.0	0.077	0.11	0.0	0.083	0.0	0.0	0.033	0.066	0.086	0.119	0.316	0.349	0.113	0.146
CPI-SS02B906C26	NRG1_ERBB3	simple:Q02297	simple:P21860	NRG1	ERBB3	False	False	False	user_curated	False	0.354	0.079	0.094	0.063	0.082	0.068	0.033	0.048	0.017	0.036	0.021	0.0	0.0	0.0	0.0	0.0	0.032	0.047	0.016	0.036	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.307	0.049	0.019	0.038	0.023	0.041	0.305	0.0	0.0	0.041	0.305	0.0	0.0
CPI-SS053613259	NRG2_ERBB3	simple:O14511	simple:P21860	NRG2	ERBB3	False	False	False	user_curated	False	0.353	0.056	0.071	0.04	0.06	0.045	0.039	0.054	0.023	0.042	0.028	0.031	0.046	0.015	0.034	0.019	0.034	0.049	0.019	0.038	0.023	0.0	0.0	0.0	0.0	0.0	0.042	0.306	0.048	0.017	0.036	0.022	0.071	0.335	0.077	0.047	0.066	0.051	0.047	0.312	0.039	0.303	0.043	0.307	0.0	0.0
CPI-SS0BD5C2A23	NRG1_ERBB4	simple:Q02297	simple:Q15303	NRG1	ERBB4	False	False	False	user_curated	False	0.002	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.046	0.0	0.019	0.0	0.0	0.011	0.045	0.0	0.0	0.011	0.044	0.0	0.0
CPI-SS0E063192D	NRG2_ERBB4	simple:O14511	simple:Q15303	NRG2	ERBB4	False	False	False	user_curated	False	0.002	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.045	0.0	0.018	0.0	0.0	0.041	0.074	0.0	0.047	0.0	0.0	0.017	0.051	0.009	0.043	0.013	0.046	0.0	0.0
CPI-SS0FC42EC80	EREG_ERBB4	simple:O14944	simple:Q15303	EREG	ERBB4	False	False	False	user_curated	False	0.171	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.031	0.065	0.0	0.038	0.0	0.0	0.022	0.055	0.0	0.028	0.0	0.0	0.028	0.061	0.016	0.049	0.018	0.052	0.053	0.086
CPI-SS0F0D7F25C	BTC_ERBB4	simple:P35070	simple:Q15303	BTC	ERBB4	False	False	False	user_curated	False	0.004	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.074	0.0	0.047	0.0	0.0	0.039	0.072	0.0	0.045	0.0	0.0	0.01	0.044	0.025	0.058	0.0	0.0	0.0	0.0
CPI-SS0D5E30C6C	NRG3_ERBB4	simple:P56975	simple:Q15303	NRG3	ERBB4	False	False	False	user_curated	False	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.043	0.0	0.016	0.0	0.0	0.015	0.049	0.0	0.0	0.008	0.041	0.0	0.0
CPI-SS060B846D1	HBEGF_ERBB4	simple:Q99075	simple:Q15303	HBEGF	ERBB4	False	False	False	user_curated	False	0.055	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.322	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.026	0.059	0.0	0.032	0.0	0.0	0.077	0.11	0.0	0.083	0.0	0.0	0.033	0.066	0.086	0.119	0.316	0.349	0.113	0.146
